Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-10-31,22:12:50,51,49,49,49,48,50,50,50,50,50,52,723233,716141,605849,707475,519475,490344,592.64,552661,502531,509235,571455
2024-10-31,22:12:53,50,48,48,48,48,49,49,49,49,49,49,1652.1,1454572,1227.06,853692,1100362,1211552,828035,1126809,709842,677506,528072
2024-10-31,22:12:55,50,48,48,48,48,50,50,50,50,50,49,638161,594209,467635,462316,504603,492213,817868,652279,465502,726617,868313
2024-10-31,22:12:57,51,48,48,48,48,49,49,49,49,49,49,1445.95,820062,735888,1096653,880458,1062405,1277.63,797549,760.01,689819,629173
2024-10-31,22:12:59,51,48,48,48,48,50,50,50,50,50,49,1225807,504314,577136,679968,783362,497808,1076429,917455,543668,654177,1106.61
2024-10-31,22:13:02,51,48,48,48,49,49,49,49,48,48,48,620526,680832,788619,980371,1425194,842381,651942,537637,491685,720242,1181645
2024-10-31,22:13:04,51,49,49,49,49,50,50,50,51,50,49,594687,633704,644487,713343,530947,724957,793987,839.33,923871,596061,672448
2024-10-31,22:13:06,51,48,48,48,48,51,51,50,50,48,50,538105,670863,604956,786124,718861,815569,1622254,1345618,1405825,2122971,2497392
2024-10-31,22:13:09,52,50,50,50,50,52,52,52,52,51,51,1004287,845334,804284,688882,1665339,1767553,2868992,873035,797644,1013.44,953368
2024-10-31,22:13:11,55,49,49,49,49,51,51,51,51,51,54,1821025,609088,915776,679519,1406383,821268,1108762,728394,1950033,1700383,919312
2024-10-31,22:13:13,54,49,49,49,49,51,51,51,51,50,53,1334652,550029,1389567,804179,1261786,1414662,1289546,873033,1661801,1640359,1218105
2024-10-31,22:13:15,52,49,49,49,49,50,50,50,50,51,52,859915,810078,1058087,1055417,1292592,1228691,1036514,2027303,1687405,696216,1513421
2024-10-31,22:13:18,51,49,49,49,48,50,50,51,51,50,50,611912,592121,474598,742704,561165,636395,1382355,643321,693049,578562,705544
2024-10-31,22:13:20,51,49,49,49,48,49,49,49,49,50,50,707353,671928,580071,596964,642946,546662,625827,494946,533635,634275,557866
2024-10-31,22:13:22,51,48,49,49,49,51,50,50,50,50,50,632.71,1105077,555604,476412,832004,485631,545993,591925,563909,809087,680938
2024-10-31,22:13:24,52,48,48,49,49,51,51,50,50,50,50,621409,638405,751533,668393,698.79,599114,606695,736829,555965,636435,561953
